url,title,authors,publisher,pubdate,price,rating,votes,want_to_read,reading,read
https://book.douban.com/subject/26295448/,你一生的故事,[美] 特德·姜,译林出版社,2015-5,36.00元,8.7,40827,108471,4724,53310
https://book.douban.com/subject/26362836/,献给阿尔吉侬的花束,[美] 丹尼尔·凯斯,广西师范大学出版社,2015-4,36.00元,9.1,136572,177049,6818,167560
https://book.douban.com/subject/26389895/,银河帝国：基地七部曲,[美] 艾萨克·阿西莫夫,江苏凤凰文艺出版社,2015-10-1,328.00元,9.5,19412,60756,4544,26896
https://book.douban.com/subject/1006197/,哈姆莱特,[英] 莎士比亚,人民文学出版社,2001-1,7.00元,8.7,54726,35376,925,109842
https://book.douban.com/subject/1012307/,规训与惩罚,[法] 米歇尔·福柯,生活·读书·新知三联书店,2003-1,21.80元,9.3,12586,86214,4125,20978
https://book.douban.com/subject/10555486/,分成两半的子爵,[意] 伊塔洛·卡尔维诺,译林出版社,2012-4-1,20.00元,8.8,34455,26085,854,43362
https://book.douban.com/subject/1394364/,银河系漫游指南,[英] 道格拉斯·亚当斯,四川科学技术出版社,2005-6,16.00元,8.8,24254,72366,2359,38853
https://book.douban.com/subject/1426971/,野火集,龙应台,文汇出版社,2005-8,25.00元,8.7,36116,44859,3003,86855
https://book.douban.com/subject/2158684/,象棋的故事,[奥] 斯蒂芬·茨威格,上海译文出版社,2007-7,23.00元,9.2,14657,31095,656,25293
https://book.douban.com/subject/21979017/,魔戒,[英] J.R.R.托尔金,上海人民出版社,2013-9,169.00元,9.5,13255,26661,1989,14411
https://book.douban.com/subject/24531956/,哈利·波特,J.K.罗琳 (J.K.Rowling),人民文学出版社,2008-12-1,498.00元,9.7,135835,48261,3755,189505
https://book.douban.com/subject/25796120/,小径分岔的花园,[阿根廷] 豪·路·博尔赫斯,上海译文出版社,2015-7,23.00,8.9,56193,90424,5467,77553
https://book.douban.com/subject/25826936/,冰与火之歌,[美]乔治·R.R.马丁,重庆出版社,2013-10-1,330.00元,9.5,21948,50702,5242,28480
https://book.douban.com/subject/25829693/,永恒的终结,[美] 艾萨克·阿西莫夫,江苏凤凰文艺出版社,2014-9,32.00元,9.1,54665,120717,3004,69285
https://book.douban.com/subject/25836270/,厌女,上野千鹤子,上海三联书店,2015-1,28.00元,9.1,95258,175830,14594,111186
https://book.douban.com/subject/25884880/,我不知道该说什么，关于死亡还是爱情,[白俄] S·A·阿列克谢耶维奇,花城出版社,2014-6-15,34.80元,9.2,21874,61731,2005,31566
https://book.douban.com/subject/25887924/,卡拉马佐夫兄弟,陀思妥耶夫斯基 (Ф.М.Достоевский),上海译文出版社,2015-2-1,CNY 78.00,9.6,52429,162193,13661,62927
https://book.douban.com/subject/25897678/,包法利夫人,福楼拜,人民文学出版社,2003-1-1,CNY 28.00,9.1,35345,45100,2895,56137
https://book.douban.com/subject/25897884/,13 67,陳浩基,皇冠文化出版有限公司,2014-6-9,NT$350,9.1,29776,74525,2101,39334
https://book.douban.com/subject/25912076/,叫魂,[美] 孔飞力,生活·读书·新知三联书店 上海三联书店,2014-6,38.00元,9.2,41290,104936,6883,46170
https://book.douban.com/subject/25935941/,天朝的崩溃,茅海建,生活·读书·新知三联书店,2014-10,59.00元,9.4,18918,62511,3229,20802
https://book.douban.com/subject/25976544/,故事,[美] 罗伯特·麦基,天津人民出版社,2014-9,68.00元,9.2,22113,97035,8855,29780
